filename,label
dataset_asv\real_speech\LA_T_1000406.flac,real
dataset_asv\real_speech\LA_T_1007571.flac,real
dataset_asv\real_speech\LA_T_1007663.flac,real
dataset_asv\real_speech\LA_T_1011221.flac,real
dataset_asv\real_speech\LA_T_1013597.flac,real
dataset_asv\real_speech\LA_T_1021790.flac,real
dataset_asv\real_speech\LA_T_1023546.flac,real
dataset_asv\real_speech\LA_T_1029184.flac,real
dataset_asv\real_speech\LA_T_1031233.flac,real
dataset_asv\real_speech\LA_T_1034923.flac,real
dataset_asv\real_speech\LA_T_1041717.flac,real
dataset_asv\real_speech\LA_T_1045294.flac,real
dataset_asv\real_speech\LA_T_1049021.flac,real
dataset_asv\real_speech\LA_T_1050008.flac,real
dataset_asv\real_speech\LA_T_1052701.flac,real
dataset_asv\real_speech\LA_T_1052790.flac,real
dataset_asv\real_speech\LA_T_1075018.flac,real
dataset_asv\real_speech\LA_T_1075302.flac,real
dataset_asv\real_speech\LA_T_1078395.flac,real
dataset_asv\real_speech\LA_T_1078988.flac,real
dataset_asv\real_speech\LA_T_1080623.flac,real
dataset_asv\real_speech\LA_T_1087973.flac,real
dataset_asv\real_speech\LA_T_1091653.flac,real
dataset_asv\real_speech\LA_T_1114980.flac,real
dataset_asv\real_speech\LA_T_1126222.flac,real
dataset_asv\real_speech\LA_T_1128865.flac,real
dataset_asv\real_speech\LA_T_1130924.flac,real
dataset_asv\real_speech\LA_T_1130943.flac,real
dataset_asv\real_speech\LA_T_1131312.flac,real
dataset_asv\real_speech\LA_T_1138215.flac,real
dataset_asv\real_speech\LA_T_1141342.flac,real
dataset_asv\real_speech\LA_T_1142757.flac,real
dataset_asv\real_speech\LA_T_1151332.flac,real
dataset_asv\real_speech\LA_T_1152394.flac,real
dataset_asv\real_speech\LA_T_1158098.flac,real
dataset_asv\real_speech\LA_T_1160090.flac,real
dataset_asv\real_speech\LA_T_1161711.flac,real
dataset_asv\real_speech\LA_T_1178897.flac,real
dataset_asv\real_speech\LA_T_1182856.flac,real
dataset_asv\real_speech\LA_T_1186717.flac,real
dataset_asv\real_speech\LA_T_1188742.flac,real
dataset_asv\real_speech\LA_T_1193043.flac,real
dataset_asv\real_speech\LA_T_1197695.flac,real
dataset_asv\real_speech\LA_T_1199930.flac,real
dataset_asv\real_speech\LA_T_1202598.flac,real
dataset_asv\real_speech\LA_T_1203196.flac,real
dataset_asv\real_speech\LA_T_1203360.flac,real
dataset_asv\real_speech\LA_T_1207505.flac,real
dataset_asv\real_speech\LA_T_1208112.flac,real
dataset_asv\real_speech\LA_T_1209325.flac,real
dataset_asv\real_speech\LA_T_1213624.flac,real
dataset_asv\real_speech\LA_T_1215743.flac,real
dataset_asv\real_speech\LA_T_1217514.flac,real
dataset_asv\real_speech\LA_T_1219386.flac,real
dataset_asv\real_speech\LA_T_1222609.flac,real
dataset_asv\real_speech\LA_T_1226390.flac,real
dataset_asv\real_speech\LA_T_1235793.flac,real
dataset_asv\real_speech\LA_T_1236840.flac,real
dataset_asv\real_speech\LA_T_1238061.flac,real
dataset_asv\real_speech\LA_T_1241016.flac,real
dataset_asv\real_speech\LA_T_1243533.flac,real
dataset_asv\real_speech\LA_T_1248092.flac,real
dataset_asv\real_speech\LA_T_1250649.flac,real
dataset_asv\real_speech\LA_T_1255705.flac,real
dataset_asv\real_speech\LA_T_1257508.flac,real
dataset_asv\real_speech\LA_T_1261884.flac,real
dataset_asv\real_speech\LA_T_1267917.flac,real
dataset_asv\real_speech\LA_T_1269462.flac,real
dataset_asv\real_speech\LA_T_1269847.flac,real
dataset_asv\real_speech\LA_T_1271820.flac,real
dataset_asv\real_speech\LA_T_1272637.flac,real
dataset_asv\real_speech\LA_T_1276415.flac,real
dataset_asv\real_speech\LA_T_1276960.flac,real
dataset_asv\real_speech\LA_T_1284700.flac,real
dataset_asv\real_speech\LA_T_1290428.flac,real
dataset_asv\real_speech\LA_T_1300559.flac,real
dataset_asv\real_speech\LA_T_1302075.flac,real
dataset_asv\real_speech\LA_T_1302087.flac,real
dataset_asv\real_speech\LA_T_1302542.flac,real
dataset_asv\real_speech\LA_T_1305270.flac,real
dataset_asv\real_speech\LA_T_1307755.flac,real
dataset_asv\real_speech\LA_T_1310154.flac,real
dataset_asv\real_speech\LA_T_1312618.flac,real
dataset_asv\real_speech\LA_T_1316001.flac,real
dataset_asv\real_speech\LA_T_1321385.flac,real
dataset_asv\real_speech\LA_T_1325059.flac,real
dataset_asv\real_speech\LA_T_1325649.flac,real
dataset_asv\real_speech\LA_T_1332868.flac,real
dataset_asv\real_speech\LA_T_1335486.flac,real
dataset_asv\real_speech\LA_T_1338417.flac,real
dataset_asv\real_speech\LA_T_1341430.flac,real
dataset_asv\real_speech\LA_T_1341447.flac,real
dataset_asv\real_speech\LA_T_1346897.flac,real
dataset_asv\real_speech\LA_T_1347550.flac,real
dataset_asv\real_speech\LA_T_1352011.flac,real
dataset_asv\real_speech\LA_T_1363347.flac,real
dataset_asv\real_speech\LA_T_1363611.flac,real
dataset_asv\real_speech\LA_T_1364415.flac,real
dataset_asv\real_speech\LA_T_1369507.flac,real
dataset_asv\real_speech\LA_T_1373249.flac,real
dataset_asv\real_speech\LA_T_1376595.flac,real
dataset_asv\real_speech\LA_T_1377264.flac,real
dataset_asv\real_speech\LA_T_1378085.flac,real
dataset_asv\real_speech\LA_T_1378563.flac,real
dataset_asv\real_speech\LA_T_1379329.flac,real
dataset_asv\real_speech\LA_T_1385311.flac,real
dataset_asv\real_speech\LA_T_1388480.flac,real
dataset_asv\real_speech\LA_T_1391534.flac,real
dataset_asv\real_speech\LA_T_1392484.flac,real
dataset_asv\real_speech\LA_T_1394641.flac,real
dataset_asv\real_speech\LA_T_1395369.flac,real
dataset_asv\real_speech\LA_T_1397401.flac,real
dataset_asv\real_speech\LA_T_1406603.flac,real
dataset_asv\real_speech\LA_T_1406835.flac,real
dataset_asv\real_speech\LA_T_1407047.flac,real
dataset_asv\real_speech\LA_T_1410416.flac,real
dataset_asv\real_speech\LA_T_1411980.flac,real
dataset_asv\real_speech\LA_T_1415351.flac,real
dataset_asv\real_speech\LA_T_1423202.flac,real
dataset_asv\real_speech\LA_T_1424545.flac,real
dataset_asv\real_speech\LA_T_1429012.flac,real
dataset_asv\real_speech\LA_T_1429555.flac,real
dataset_asv\real_speech\LA_T_1433631.flac,real
dataset_asv\real_speech\LA_T_1441999.flac,real
dataset_asv\real_speech\LA_T_1447757.flac,real
dataset_asv\real_speech\LA_T_1450124.flac,real
dataset_asv\real_speech\LA_T_1455233.flac,real
dataset_asv\real_speech\LA_T_1457379.flac,real
dataset_asv\real_speech\LA_T_1459453.flac,real
dataset_asv\real_speech\LA_T_1459702.flac,real
dataset_asv\real_speech\LA_T_1467964.flac,real
dataset_asv\real_speech\LA_T_1470659.flac,real
dataset_asv\real_speech\LA_T_1473061.flac,real
dataset_asv\real_speech\LA_T_1475339.flac,real
dataset_asv\real_speech\LA_T_1477639.flac,real
dataset_asv\real_speech\LA_T_1478655.flac,real
dataset_asv\real_speech\LA_T_1482076.flac,real
dataset_asv\real_speech\LA_T_1482834.flac,real
dataset_asv\real_speech\LA_T_1483721.flac,real
dataset_asv\real_speech\LA_T_1486451.flac,real
dataset_asv\real_speech\LA_T_1487560.flac,real
dataset_asv\real_speech\LA_T_1495245.flac,real
dataset_asv\real_speech\LA_T_1495856.flac,real
dataset_asv\real_speech\LA_T_1498247.flac,real
dataset_asv\real_speech\LA_T_1500527.flac,real
dataset_asv\real_speech\LA_T_1501005.flac,real
dataset_asv\real_speech\LA_T_1504888.flac,real
dataset_asv\real_speech\LA_T_1509895.flac,real
dataset_asv\real_speech\LA_T_1511191.flac,real
dataset_asv\real_speech\LA_T_1511193.flac,real
dataset_asv\real_speech\LA_T_1518499.flac,real
dataset_asv\real_speech\LA_T_1530054.flac,real
dataset_asv\real_speech\LA_T_1532340.flac,real
dataset_asv\real_speech\LA_T_1535496.flac,real
dataset_asv\real_speech\LA_T_1536675.flac,real
